Name,Part family,Type,Design,Order,V&V,Notes,Design Intend,Image,Material,Product name,Supplier Order,Interface with,Link,Supplier,Datasheet,Amount,Cost,Total cost,Count (Interface with)
Laser source,Optics,Standard,Done,Recieved,Good,Works great as intended,,Max300W.PNG (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/3r-zYwCsDle-9VKFk4LJJg/BWnG7o1B2Hj0JNYSpA8K4bMqJdLxq4pGAreia6e-HQek7ygH8WF2Gmd4vyLCqiFvdnK7woi44Bu8KwqakKCwSJVjgl54H4zFsVBHSIssy482NWOwLTrZSYkXXZYUhcv8OJ7gGJcMvekF-XejR8sLrQ/nTE-LJyeXi_DuHZdAIZKziUL46gt5Xc0LbvC89-EOMk),,MFSC-300W,,GLAMS,http://en.maxphotonics.com/product/18.html,Max Photonics,300W SINGLE MODULE CW FIBER LASER(3D PRINTING)-Leaflet.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/VEkdp7N0TPxOi0Im6t1YNA/DknHIJZ7gkzBiJRep30maguvYaPicZRF0UxShjxAQIj2gjdFYlRWNPnrY9W8eZjrjXJ1G3-CWU-OjSY2chv3Ew9OiSy2NGBIIeG_Hfxf-rD2ssWR0h1tpaHWPEuw_ub3BmrfpDN9l45Tf6C_s5bf-IPRb3W2KUmSNbrNMChLbeREaSWl7hmcW_BeAkJ5wkXT/REx0m-Ztoe1GyTeROCQM5eSwSyw-jQ6_UJW54v1ggU4),1,DKK45000.00,DKK45000.00,1
Collimator,Optics,Standard,Done,Recieved,Good,,,,,,,,,EN Laser,COL-1070-D38-F120外形尺寸图.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/O-gUMv0fEbIsRaeA7P0nbQ/fgWLAOYSbDiAfnduXnxXe28_aJBbOEm7gxbGPUa3ihkZLfvPnfFA-MkUNBcaE2qt39Um_BHvb4HgbRDB0QNaq11DdqCXxdXTPUZ_1rTHJIaTD7lZqAdhMZfJbgxlNfHSVH35PW1GP83KjdQGBvUUo6b3oO-UJAr2Yx1sQWJIIww/fuUE3OKtIe7vRbGjoABq_bdMcouXHj_8O0nKpVxPitQ),1,DKK11750.00,DKK11750.00,0
Sunny Galvo,Optics,Standard,Done,Recieved,Good,,,,,,,,http://www.sunny-technology.com/pro_con.aspx?type=143&id=850,Sunny Technology,"Specification of scan head（S-9320).pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/4nLZgCFul0IlDGPMbVzEmA/q-s7nHIPnbKQMcic6IcQTNdR-vpIP9WQxIC0qwVkFk9usRdaM1TQT64xlcQQrnCRUPAOWWC2pBdp3BwQREtrWOIlkkEUTxDQch6ModV6GAKyVR9xazasPMdu-1HCl7feQGWRHrhJGINBFYr1MPdeC_KCsaZZ6y2bA7WGAOLc1_A/-2OGDYVR7pkM_shFsNc8celMGbDT8G8MjHuq_zACOvk),20180103 Catalogue  EN.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/gDYCjTgUzgIUazq2Wig6UQ/pl42_xrtTH0rudZYrJZPjXsMesasJF7uZ_qExv9gBC8B43nuhERz4gsSJ_BNC8MwM-pxDsoq79FpB9l_yP2aWIpK9lwcRilk_V49u3Co8HhY6DtyDG7bKdVXgZFQLE0k4D_1AR3rxXr5x6I5WCT-yy-Iteskb4oNMlKM4Gt64eE/Njnwx1jCWL5NpPNPLKDdWIPhADyJety7o8-Du9UoYHg)",1,DKK9776.00,DKK9776.00,0
F-Theta,Optics,Standard,Done,Recieved,Good,,,,,4401-508-000-26,,,https://www.digikey.dk/product-detail/da/4401-508-000-26/1601-4401-508-000-26-ND/11698211?utm_medium=email&utm_source=oce&utm_campaign=3309_OCE21RT&utm_content=productdetail_DK&utm_cid=1959404&so=71081600&mkt_tok=MDI4LVNYSy01MDcAAAF-tKwAJu23wA7EMGcGE9E85mQzt3nm7cxZgZwiMBxdyCga84JSMgc3ERNhdmtx8QnKbnlYsbjqmDIbnyKrFp4KzD3G0fJHrpor6LH7NP8G,Digikey,4401-508-000-26_2020.06-V2.pdf (https://v5.airtableusercontent.com/v3/u/33/33/1728496800000/6n4Ukovp8aumsEXleDhkPw/bTuDEeVNupAtAp1UUZNA-DmJJ8vwlod2LuNpnqUBZIr1v9JlRGCH06e24iDWrvaDCz5s21_mQF1lssqycHczbhpkH_Ok6PW6EBw7hmuqEsZSjoJNBOBiQN5Ru72-fkAYBy_AlJDF6n_CRvuodrJD3dgcHJSt9uQX3jBo7Jq07oY/dCz7S6GLKZMfQ4ss5VoWKzluYiInqeKWk95KBsModJU),1,DKK31000.00,DKK31000.00,0
Water chiller for collimator,Optics,Standard,In progress,Recieved,Good,,,,,,,,,,,1,DKK8000.00,DKK8000.00,0
Powder hopper,Powder,Custom,Done,Ordered,Major modifications,A few welds had to be filed down,,,Stainless steel,,,,,DTU,,2,,DKK0.00,0
Powder roller,Powder,Custom,In progress,Todo,Slight modifications,"Now all slots have same size and rounded by worker.

Before: The slots were too sharp, had to be filed down. Next version should include fillets or chamfers",,,Aluminium,,,,,DTU,,2,,DKK0.00,0
Powder handling mount bracket,Powder,Custom,Done,Recieved,Good,,,,Stainless steel,,,,,DTU,,2,,DKK0.00,0
Powder roller housing,Powder,Custom,Done,Recieved,Good,,,,Aluminium,,,,,DTU,,1,,DKK0.00,0
Powder stepper bracket,Powder,Custom,Done,Recieved,Good,,,,Stainless steel,,,,,DTU,,1,,DKK0.00,0
Powder roller ceramic gasket,Powder,Custom,Done,Recieved,Good,Nice fit,,,,,,,,Keith Payne,,1,,DKK0.00,0
Powder Valve Fitting,Powder,Custom,Done,Ordered,Good,,,,Aluminium,,,,,DTU,,2,,DKK0.00,0
Powder Inlet,Powder,Custom,Done,Recieved,Good,,,,,,,,,DTU,,2,,DKK0.00,0
